Learning Rate,Validation Accuracy,Validation F1 Score
0.2,0.7527568245562078,0.2992144140944477
0.4,0.7522167830949602,0.30000363834509153
0.5,0.7522080727488111,0.30018153938035036
0.7,0.7517638450952041,0.3010745391384214
0.8,0.7509973346340784,0.3008247258130787
