iter	TotalF1	MultiClass
289	0.6918817671	0.6644290317
290	0.6918815354	0.6644093436
291	0.6918369327	0.664370021
292	0.6918929973	0.6643506681
293	0.691861469	0.6643122935
294	0.6919288924	0.6642863751
295	0.6919481666	0.6642635003
296	0.6919267442	0.664243779
297	0.6919399545	0.6642324343
298	0.6919517052	0.6641972876
299	0.6919174424	0.6641815158
300	0.6919104763	0.6641578568
301	0.6918574966	0.6641364634
302	0.6918577658	0.6641179123
303	0.6919658876	0.6640952503
304	0.6919704725	0.6640757618
305	0.6919868525	0.6640694511
306	0.6919986254	0.6640567584
307	0.6919648774	0.6640417965
308	0.6919013284	0.6640310013
309	0.6919288074	0.6639988239
310	0.6919471096	0.6639829647
311	0.6919373595	0.6639653715
312	0.6919300795	0.6639487475
313	0.6919197023	0.6639303612
314	0.6919188056	0.6639151491
315	0.6919701074	0.6639049737
316	0.6919604537	0.6638788705
317	0.6919269109	0.6638663601
318	0.6918764313	0.6638407875
319	0.691947894	0.6638009396
320	0.6918900832	0.663783334
321	0.6919621354	0.6637747561
322	0.6919797177	0.6637483623
323	0.6919662051	0.6637240077
324	0.6919588974	0.66369787
325	0.6919403024	0.6636650276
326	0.6919350577	0.6636421575
327	0.6919691849	0.6636333305
328	0.6919059395	0.6636269424
329	0.691975973	0.6636048191
330	0.691963421	0.6635902776
331	0.6919552258	0.6635691367
332	0.6919866044	0.6635403944
333	0.6920531145	0.6635249943
334	0.6920246189	0.6634975546
335	0.6920184985	0.6634721208
336	0.6920580232	0.6634569407
337	0.6921120442	0.6634423121
338	0.6921500395	0.6634321387
339	0.6921548115	0.6634159555
340	0.6922016174	0.6633991884
341	0.6921685105	0.6633712651
342	0.6922197757	0.6633492114
343	0.6921703897	0.6633331464
344	0.692149434	0.6633080824
345	0.6920966196	0.6632784763
346	0.692108865	0.6632504946
347	0.6920891442	0.6632176756
348	0.6921497019	0.663209602
349	0.6921516463	0.6631931723
350	0.6921792328	0.663177773
351	0.6922109162	0.6631605321
352	0.6922373906	0.6631218143
353	0.6922168269	0.6631119684
354	0.6921802616	0.6630913597
355	0.6922096568	0.6630500935
356	0.6922762468	0.663038497
357	0.6922808596	0.6630248115
358	0.6922980587	0.6630093192
359	0.6923131984	0.6629821409
360	0.69235537	0.6629576228
361	0.6923212618	0.6629426297
362	0.692340829	0.6629300417
363	0.6923125984	0.6629008448
364	0.6923927778	0.6628645857
365	0.6924004682	0.6628395483
366	0.6923921599	0.6628329854
367	0.6924509354	0.6628004199
368	0.6924501152	0.6627740082
369	0.6924416432	0.6627524441
370	0.692465718	0.6627359463
371	0.6925169775	0.6627160756
372	0.6925512629	0.6626844094
373	0.6925198241	0.6626680538
374	0.6925264234	0.6626602082
375	0.6925037356	0.6626482687
376	0.6925113048	0.6626330747
377	0.6925216741	0.6626171394
378	0.6925306728	0.6625999261
379	0.6925910539	0.6625829136
380	0.6926080743	0.6625577271
381	0.6926107014	0.6625444533
382	0.6926312819	0.662510185
383	0.6926220894	0.6624728
384	0.6925855963	0.6624417178
385	0.6925658706	0.662435556
386	0.692521471	0.6624296858
387	0.6925439965	0.662414917
388	0.692558553	0.6623911928
389	0.6925903243	0.6623710655
390	0.6925879998	0.6623481939
391	0.6925813751	0.6623338751
392	0.6925833656	0.6623135091
393	0.6926287714	0.6622862103
394	0.6926584855	0.6622538281
395	0.6926649094	0.6622348157
396	0.6926590291	0.6622228304
397	0.6926469432	0.6622094981
398	0.6926388353	0.6621918652
399	0.6926431598	0.6621835225
400	0.6926160245	0.66216577
401	0.6925780761	0.6621465242
402	0.6926010445	0.6621300966
403	0.692603565	0.662104914
404	0.6925877565	0.6620874931
405	0.6926575082	0.6620631241
406	0.6926461667	0.662023125
